start,end,west,east,central,south,north
2023-02-04T06:00:00+08:00,2023-02-04T12:00:00+08:00,Partly Cloudy (Day),Partly Cloudy (Day),Partly Cloudy (Day),Partly Cloudy (Day),Partly Cloudy (Day)
2023-02-04T12:00:00+08:00,2023-02-04T18:00:00+08:00,Thundery Showers,Thundery Showers,Thundery Showers,Thundery Showers,Thundery Showers
2023-02-04T18:00:00+08:00,2023-02-05T06:00:00+08:00,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy
