start,end,west,east,central,south,north
2023-02-02T06:00:00+08:00,2023-02-02T12:00:00+08:00,Partly Cloudy (Day),Partly Cloudy (Day),Partly Cloudy (Day),Partly Cloudy (Day),Partly Cloudy (Day)
2023-02-02T12:00:00+08:00,2023-02-02T18:00:00+08:00,Thundery Showers,Thundery Showers,Thundery Showers,Thundery Showers,Thundery Showers
2023-02-02T18:00:00+08:00,2023-02-03T06:00:00+08:00,Partly Cloudy (Night),Partly Cloudy (Night),Partly Cloudy (Night),Partly Cloudy (Night),Partly Cloudy (Night)
